age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,education_ordered,age_bins
50,blue-collar,single,basic.4y,no,no,no,0.0,may,thu,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,basic.4y,"(45, 55]"
51,services,married,professional.course,unknown,no,no,0.0,may,mon,5.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,professional.course,"(45, 55]"
46,technician,divorced,professional.course,no,yes,no,1.0,may,mon,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,professional.course,"(45, 55]"
46,admin.,single,university.degree,no,yes,no,0.0,jun,mon,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,university.degree,"(45, 55]"
25,services,single,high.school,no,no,no,1.0,may,thu,5.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,high.school,"(15, 25]"
52,technician,married,basic.6y,unknown,no,no,1.0,may,thu,3.0,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,basic.6y,"(45, 55]"
29,technician,single,university.degree,no,yes,no,1.0,jun,wed,1.0,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0,university.degree,"(25, 35]"
42,technician,married,professional.course,unknown,no,no,1.0,jul,mon,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,professional.course,"(35, 45]"
52,admin.,married,basic.4y,no,yes,yes,1.0,nov,mon,3.0,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,basic.4y,"(45, 55]"
47,housemaid,married,basic.4y,no,yes,no,1.0,nov,wed,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,unknown,"(45, 55]"
40,technician,married,basic.9y,no,yes,no,1.0,jul,thu,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,basic.9y,"(35, 45]"
54,management,married,high.school,no,no,no,1.0,aug,wed,3.0,999,1,failure,-1.7,94.027,-38.3,0.894,4991.6,0,high.school,"(45, 55]"
50,management,married,university.degree,no,yes,no,0.0,may,wed,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,university.degree,"(45, 55]"
44,blue-collar,married,basic.9y,unknown,yes,no,1.0,jul,mon,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,basic.9y,"(35, 45]"
38,blue-collar,married,basic.9y,unknown,no,yes,1.0,apr,fri,2.0,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1,0,basic.9y,"(35, 45]"
47,blue-collar,married,basic.6y,no,yes,no,0.0,may,fri,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,basic.6y,"(45, 55]"
31,management,married,university.degree,no,no,no,1.0,aug,mon,4.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,university.degree,"(25, 35]"
49,services,married,high.school,no,yes,no,1.0,may,thu,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,high.school,"(45, 55]"
40,technician,married,professional.course,no,yes,yes,1.0,jul,wed,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,professional.course,"(35, 45]"
36,blue-collar,married,basic.9y,no,no,no,1.0,may,thu,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,unknown,"(35, 45]"
27,admin.,single,high.school,unknown,yes,yes,1.0,may,mon,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,high.school,"(25, 35]"
44,blue-collar,married,professional.course,unknown,no,no,1.0,jul,tue,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,professional.course,"(35, 45]"
41,technician,single,professional.course,no,yes,no,1.0,aug,tue,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,professional.course,"(35, 45]"
46,services,married,high.school,no,yes,no,1.0,apr,wed,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,high.school,"(45, 55]"
40,blue-collar,married,basic.9y,no,no,no,1.0,apr,thu,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,basic.9y,"(35, 45]"
30,self-employed,married,professional.course,no,no,no,0.0,may,tue,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,professional.course,"(25, 35]"
34,technician,married,university.degree,no,no,no,1.0,jul,thu,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,university.degree,"(25, 35]"
45,blue-collar,single,high.school,unknown,yes,no,1.0,may,mon,6.0,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0,high.school,"(35, 45]"
50,housemaid,married,basic.4y,no,no,no,1.0,aug,tue,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,unknown,"(45, 55]"
33,technician,single,basic.9y,no,no,no,1.0,sep,fri,2.0,999,0,nonexistent,-3.4,92.379,-29.8,0.741,5017.5,0,basic.9y,"(25, 35]"
46,blue-collar,married,basic.9y,no,yes,yes,0.0,may,fri,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,basic.9y,"(45, 55]"
38,technician,single,university.degree,no,no,no,0.0,jun,mon,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,university.degree,"(35, 45]"
24,admin.,single,professional.course,no,yes,no,1.0,apr,mon,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,professional.course,"(15, 25]"
41,management,married,university.degree,no,yes,no,1.0,aug,thu,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,university.degree,"(35, 45]"
